product_id,product_name,listing_price,sale_price,discounted_sale_price,brand,description,rating,reviews
CI7379-400,Nike Air Max 98 SE,USD 0.00,"USD 15,995.00","USD 15,035.30",Nike,"Always one step ahead, the Nike Air Max 98 SE features the OG design lines that were inspired by the walls of the Grand Canyon. Its fluid, textured look and full-length Nike Air cushioning set it apart, while the gradient colours add Nike heritage.",0,0
CU7623-002,Nike x MMW Joyride CC3 Setter,USD 0.00,"USD 16,995.00","USD 15,975.30",Nike,"Alyx founder and creative director Matthew M. Williams is known for his ability to push fashion into new spaces. His angle is simple: Combine the influence of his life in New York and California with the latest innovations. The Nike x MMW Joyride CC3 Setter runs with that idea, bringing you to a world of cushioning and comfort.",3.5,2
130690-017,Air Jordan 12 Retro,USD 0.00,"USD 15,995.00","USD 15,995.00",Nike,"An all-time favourite among players and sneakerheads, the Air Jordan 12 Retro features full-length Zoom Air cushioning and full-grain leather styled with distinct radial stitch lines.",4.5,24
130690-017,Air Jordan 12 Retro,USD 0.00,"USD 15,995.00","USD 15,035.30",Nike,"An all-time favourite among players and sneakerheads, the Air Jordan 12 Retro features full-length Zoom Air cushioning and full-grain leather styled with distinct radial stitch lines.",4.5,24
AR5676-401,Nike Air Zoom Pegasus 36 Trail,USD 0.00,"USD 10,995.00","USD 10,445.25",Nike,"An icon hits the paths less travelled in the Nike Air Zoom Pegasus 36 Trail. Perforated mesh upper offers breathable comfort, and double Zoom Air units cushion your stride. Outsole lugs optimise traction when running uphill.",4.2,9
AR5677-200,Nike Air Zoom Pegasus 36 Trail,USD 0.00,"USD 10,995.00","USD 10,445.25",Nike,"An icon trades pavement for path with the Nike Air Zoom Pegasus 36 Trail. A perforated mesh upper adds breathability, as double Zoom Air units underfoot cushion your stride. Opposing lugs on the outsole optimise traction on your uphill climbs.",4.6,12
CI1289-100,Nike Free RN 5.0,"USD 8,995.00","USD 5,397.00","USD 5,181.12",Nike,"An ideal performer for low-mileage sprints, the Nike Free RN 5.0 returns to its roots as a running shoe. Lightweight mesh in the upper provides more stretch to feel like a second skin. Less foam in the midsole means you're ready to hit the ground running.",0,0
AQ1316-500,Nike Free RN 5.0,"USD 7,995.00","USD 4,797.00","USD 4,797.00",Nike,"An ideal performer for runs of up to 3 miles, the Nike Free RN 5.0 returns to its roots as a running shoe. A stripped-down upper with single-layer mesh is stretchy to feel like a second skin. The lightweight midsole with less foam makes it easy to hit the ground running.",4.2,13
BV7775-100,Nike Free RN 5.0 AW,"USD 8,995.00","USD 5,397.00","USD 3,022.32",Nike,"An ideal performer for runs up to 3 miles, the Nike Free RN 5.0 AW returns to its roots as a motion shoe. A stripped-down upper with single-layer mesh stretches and moves with you. Less foam in the midsole makes it easy to hit the ground running.",5,1
BV7774-100,Nike Free RN 5.0,"USD 8,995.00","USD 6,297.00","USD 6,045.12",Nike,"An ideal performer for runs up to 3 miles, the Nike Free RN 5.0 returns to its roots as a motion shoe. A stripped-down upper with single-layer mesh provides stretch, while the lightweight midsole with less foam makes it easy to hit the ground running.",0,0
CK2772-101,Jordan React Havoc SE,USD 0.00,"USD 10,995.00","USD 10,555.20",Nike,"An update to the ultra-fast Jordan React Havoc, the SE maintains its responsive cushioning combination while revamping elements of the upper. The transparent heel clip offers the same great heel lockdown but with a new aesthetic. A synthetic suede and striped-line mudguard provides lightweight lateral support. The updated tongue reduces lace pressure and provides easy on and off.",0,0
CT5342-007,Air Jordan 4 Retro SE,USD 0.00,"USD 18,995.00","USD 18,235.20",Nike,"As fresh as its first release, the Air Jordan 4 Retro remakes Michael Jordan's 4th signature shoe for today's streetwear savants. Suede and textile materials provide lightweight durability and support, while Nike Air cushioning offers comfort with every step.",4.8,11
844896-002,NikeCourt Royale SL,"USD 3,995.00","USD 3,197.00","USD 3,069.12",Nike,"As fresh as the day it debuted, the NikeCourt Royale SL features classic, clean lines, a durable synthetic leather upper and a rubber cupsole for all-day comfort.",0,0
CT1531-001,Nike Air Max 98,USD 0.00,"USD 15,995.00","USD 15,355.20",Nike,"At a local football club in the gritty Parisian suburb of Bondy, in between grey concrete housing projects, a kid named Kylian Mbappé practised his game. It didn't take long before that kid hit the world stage and became one of football's biggest superstars. The Nike Air Max 98 celebrates Mbappé's childhood dream with a sneaker that brings the legacy of Bondy to the neighbourhoods of the world.",0,0
CD0188-101,LeBron Witness 4 EP,USD 0.00,"USD 7,995.00","USD 4,477.20",Nike,"Be a force on the court in the LeBron Witness 4: a great fit for powerful players who want good ankle support from a shoe that still feels light. Durably built for playing on outdoor courts, its sculpted, padded collar and exterior heel counter provide a stable fit, while visible cushioning units under the forefoot return energy with every step.",0,0
AJ6910-009,Nike Air VaporMax Flyknit 3,USD 0.00,"USD 16,995.00","USD 16,315.20",Nike,"Be bouncy and buoyant in the Nike Air VaporMax Flyknit 3. Inspired by high fashion, the upper features flowing lines of breathable, stretchable Flyknit construction. Revolutionary VaporMax Air technology keeps a spring in your step with toe-to-heel cushioning.",4.4,48
AJ6900-102,Nike Air VaporMax Flyknit 3,USD 0.00,"USD 16,995.00","USD 16,315.20",Nike,"Be bouncy and buoyant in the Nike Air VaporMax Flyknit 3. The upper features flowing 2-tone lines of breathable, stretchable Flyknit construction for unique, street-ready style. Revolutionary VaporMax technology keeps a spring in your step with toe-to-heel cushioning.",3.7,50
AV5187-602,Jordan Air Latitude 720,"USD 15,995.00","USD 12,797.00","USD 12,285.12",Nike,"Boasting a bold 720 Air unit, the Jordan Air Latitude 720 offers 360 degrees of cushioning and then some. This attention-grabbing, AJ 8–inspired shoe is a celebration of '90s Jordan heritage, big-time Air and street-ready comfort.",5,1
BV6484-002,Nike Air Max 720 SE,"USD 15,995.00","USD 11,197.00","USD 10,749.12",Nike,"Boasting Nike's tallest Air unit to date, the Nike Air Max 720 SE offers 360 degrees of cushioning and then some. With a jaw-dropping outsole and moulded upper, this shoe brings future style to the present day.",0,0
BQ5467-101,Nike Zoom Rise,"USD 11,995.00","USD 8,397.00","USD 7,893.18",Nike,"Bounce like never before in the Zoom Rise, Nike Basketball's artfully crafted creation for the upwardly mobile. This mid-top provides containment and support up through the ankle, while an extra-large Nike Zoom Air unit under the ball of your foot redefines how responsive a shoe can be.",4,2
BQ5467-101,Nike Zoom Rise,"USD 11,995.00","USD 8,397.00","USD 8,397.00",Nike,"Bounce like never before in the Zoom Rise, Nike Basketball's artfully crafted creation for the upwardly mobile. This mid-top provides containment and support up through the ankle, while an extra-large Nike Zoom Air unit under the ball of your foot redefines how responsive a shoe can be.",4,2
CQ7731-900,Nike Zoom KD12 'YouTube',"USD 12,995.00","USD 10,397.00","USD 9,565.24",Nike,"Breaking new ground for athletes, KD provides unprecedented access to his life through his YouTube channel. It's this type of authentic connection that KD wanted to create with his fans when he first partnered with YouTube in 2017. In celebration of his channel, the KD12 'YouTube' features co-branded graphic hits on the tongue and heel that celebrate two icons coming together to change the game.",4.6,5
AV6259-500,Nike Air Zoom Pegasus 36 Premium Rise,"USD 10,995.00","USD 6,597.00","USD 6,597.00",Nike,"Breathability and inspiration come together in the Nike Air Zoom Pegasus 36 Premium Rise. A knit-in graphic repeating across the mesh and synthetic upper spells out ""Just Do It."" in perforations. Strategically placed, they cover zones where your foot releases the most heat.",5,5
AR4347-600,Nike Zoom Pegasus Turbo XX,"USD 16,995.00","USD 13,597.00","USD 13,597.00",Nike,"Bridging performance and style, the Nike Zoom Pegasus Turbo XX Women's Running Shoe combines a full-length ZoomX midsole with an upper re-imagined exclusively for women. This feather-light translucent upper pops with a racing-stripe print that looks as fast as it feels, while Nike ZoomX foam delivers revolutionary responsiveness. A transparent, soft TPU overlay wraps your midfoot for the fit you need.",1,1
BQ4430-400,Nike Air Max 720 Waves,"USD 15,995.00","USD 11,197.00","USD 10,301.24",Nike,"Bring a new point of view to off-court culture in your Nike Air Max 720 Waves. Its low-profile stance showcases Nike's tallest Air unit to date while its D/MS/X design mixes culture with sport, letting you enter a fresh dimension of hoops style with unparalleled comfort.",5,4
CT7695-401,Nike Air Max 2090,USD 0.00,"USD 11,995.00","USD 11,995.00",Nike,"Bring the past into the future with the Nike Air Max 2090, a bold look inspired by the DNA of the iconic Air Max 90. Brand-new Nike Air cushioning underfoot adds unparalleled comfort while transparent fabric on the upper is blended with timeless OG features for an edgy, modernised look.",4.8,4
CT7698-600,Nike Air Max 2090,USD 0.00,"USD 11,995.00","USD 11,995.00",Nike,"Bring the past into the future with the Nike Air Max 2090, a bold look inspired by the DNA of the iconic Air Max 90. Brand-new Nike Air cushioning underfoot adds unparalleled comfort while transparent knit and vibrantly coloured textiles on the upper blend with timeless OG features for an edgy, modernised look.",5,2
CU9174-600,Nike Air Max 2090,USD 0.00,"USD 13,995.00","USD 13,995.00",Nike,"Bring the past into the future with the Nike Air Max 2090, a bold look inspired by the DNA of the iconic Air Max 90. Brand-new Nike Air cushioning underfoot adds unparalleled comfort while transparent mesh and vibrantly coloured details on the upper are blended with timeless OG features for an edgy, modernised look.",5,1
CW4286-100,Nike Air Max 2090,USD 0.00,"USD 11,995.00","USD 11,995.00",Nike,"Bring the past into the future with the Nike Air Max 2090, a bold look inspired by the DNA of the iconic Air Max 90. Brand-new Nike Air cushioning underfoot adds unparalleled comfort while transparent mesh and vibrantly coloured textile on the upper blend with timeless OG features for an edgy, modernised look.",0,0
BV9977-101,Nike Air Max 2090,USD 0.00,"USD 11,995.00","USD 11,995.00",Nike,"Bring the past into the future with the Nike Air Max 2090. Inspired by the iconic Air Max 90, the 2090 features Nike Air cushioning underfoot that provides unparalleled comfort, while transparent mesh on the upper is blended with timeless OG features for an edgy, modernised look.",0,0
AT7898-104,Nike Mercurial Vapor 13 Elite Neymar Jr. FG,USD 0.00,"USD 22,995.00","USD 22,995.00",Nike,"Building on the 360 innovation of the 12, the Nike Mercurial Vapor 13 Elite Neymar Jr. FG adds a Nike Aerowtrac zone to the forefoot and a slightly stiffer chassis to help supercharge traction. Inside, an insole with NikeGrip technology provides maximum interior traction underfoot and lightweight cushioning.",0,0
AT7898-104,Nike Mercurial Vapor 13 Elite Neymar Jr. FG,USD 0.00,"USD 22,995.00","USD 22,995.00",Nike,"Building on the 360 innovation of the 12, the Nike Mercurial Vapor 13 Elite Neymar Jr. FG adds a Nike Aerowtrac zone to the forefoot and a slightly stiffer chassis to help supercharge traction. Inside, an insole with NikeGrip technology provides maximum interior traction underfoot and lightweight cushioning.",0,0
AQ4174-049,Nike Mercurial Superfly 7 Elite FG,USD 0.00,"USD 22,995.00","USD 22,995.00",Nike,"Building on the 360 innovation of the 6, the Nike Mercurial Superfly 7 Elite FG Boot adds a Nike Aerowtrac zone to the forefoot and a slightly stiffer chassis to help supercharge traction.",4.3,8
AQ4174-049,Nike Mercurial Superfly 7 Elite FG,USD 0.00,"USD 22,995.00","USD 22,995.00",Nike,"Building on the 360 innovation of the 6, the Nike Mercurial Superfly 7 Elite FG Boot adds a Nike Aerowtrac zone to the forefoot and a slightly stiffer chassis to help supercharge traction.",4.3,8
AQ4176-049,Nike Mercurial Vapor 13 Elite FG,USD 0.00,"USD 21,995.00","USD 21,995.00",Nike,"Building on the 360-degree Flyknit innovation of the 12, the Nike Mercurial Vapor 13 Elite FG adds a Nike Aerowtrac zone to the forefoot and a slightly stiffer chassis to help supercharge traction. Inside, an insole with NikeGrip technology provides maximum interior traction underfoot and lightweight cushioning.",3.5,4
AQ4176-049,Nike Mercurial Vapor 13 Elite FG,USD 0.00,"USD 21,995.00","USD 21,995.00",Nike,"Building on the 360-degree Flyknit innovation of the 12, the Nike Mercurial Vapor 13 Elite FG adds a Nike Aerowtrac zone to the forefoot and a slightly stiffer chassis to help supercharge traction. Inside, an insole with NikeGrip technology provides maximum interior traction underfoot and lightweight cushioning.",3.5,4
CD6720-808,Nike Mercurial Vapor 13 Elite SE FG,USD 0.00,"USD 21,995.00","USD 21,995.00",Nike,"Building on the 360-degree Flyknit innovation of the 12, the Nike Mercurial Vapor 13 Elite SE FG adds a Nike Aerowtrac zone to the forefoot and a slightly stiffer chassis to help supercharge traction.",0,0
CD6720-808,Nike Mercurial Vapor 13 Elite SE FG,USD 0.00,"USD 21,995.00","USD 21,995.00",Nike,"Building on the 360-degree Flyknit innovation of the 12, the Nike Mercurial Vapor 13 Elite SE FG adds a Nike Aerowtrac zone to the forefoot and a slightly stiffer chassis to help supercharge traction.",0,0
CD6720-808,Nike Mercurial Vapor 13 Elite SE FG,USD 0.00,"USD 21,995.00","USD 21,995.00",Nike,"Building on the 360-degree Flyknit innovation of the 12, the Nike Mercurial Vapor 13 Elite SE FG adds a Nike Aerowtrac zone to the forefoot and a slightly stiffer chassis to help supercharge traction.",0,0
CD6721-808,Nike Mercurial Superfly 7 Elite SE FG,USD 0.00,"USD 22,995.00","USD 22,995.00",Nike,"Building on the 360-degree Flyknit innovation of the 6, the Nike Mercurial Superfly 7 Elite SE FG adds a Nike Aerowtrac zone to the forefoot and a slightly stiffer chassis to help super-charge traction. An insole with NikeGrip technology provides maximum interior traction underfoot and lightweight cushioning.",0,0
CD6721-808,Nike Mercurial Superfly 7 Elite SE FG,USD 0.00,"USD 22,995.00","USD 22,075.20",Nike,"Building on the 360-degree Flyknit innovation of the 6, the Nike Mercurial Superfly 7 Elite SE FG adds a Nike Aerowtrac zone to the forefoot and a slightly stiffer chassis to help super-charge traction. An insole with NikeGrip technology provides maximum interior traction underfoot and lightweight cushioning.",0,0
AT5269-606,Nike Mercurial Vapor 13 Academy MG,USD 0.00,"USD 7,495.00","USD 7,120.25",Nike,"Building on the forefoot plate innovation of the 12, the Nike Mercurial Vapor 13 Academy Boot adds a versatile multi-ground plate that provides traction on natural- and artificial-grass surfaces.",0,0
AT5269-606,Nike Mercurial Vapor 13 Academy MG,USD 0.00,"USD 7,495.00","USD 7,495.00",Nike,"Building on the forefoot plate innovation of the 12, the Nike Mercurial Vapor 13 Academy Boot adds a versatile multi-ground plate that provides traction on natural- and artificial-grass surfaces.",0,0
AT7946-414,Nike Mercurial Superfly 7 Academy MG,USD 0.00,"USD 8,495.00","USD 3,907.70",Nike,"Building on the forefoot plate innovation of the 6, the Nike Mercurial Superfly 7 Academy MG Boot adds a versatile multi-ground plate that provides traction on natural- and artificial-grass surfaces.",5,2
AT7946-414,Nike Mercurial Superfly 7 Academy MG,USD 0.00,"USD 8,495.00","USD 8,495.00",Nike,"Building on the forefoot plate innovation of the 6, the Nike Mercurial Superfly 7 Academy MG Boot adds a versatile multi-ground plate that provides traction on natural- and artificial-grass surfaces.",5,2
CD0191-009,Kyrie Flytrap 3 EP,USD 0.00,"USD 6,495.00","USD 6,300.15",Nike,"Built for Kyrie Irving's incomparably quick game, the Kyrie Flytrap 3 EP combines full-foot support and containment, responsive cushioning and an aggressive outsole that's contoured for seamless movement through impossibly tight lanes.",0,0
AQ2222-200,Nike Air Zoom Wildhorse 5,USD 0.00,"USD 8,995.00","USD 8,725.15",Nike,"Built specifically for trails, the Nike Air Zoom Wildhorse 5 keeps you galloping over rough terrain in breathable, multi-layer fabric. A rock plate helps shield your foot, while a Zoom Air heel unit cushions your stride on and off the path.",5,6
880848-005,Nike Zoom Fly,USD 0.00,"USD 14,495.00","USD 14,495.00",Nike,"Built with a carbon-infused nylon plate inspired by the VaporFly 4%—our most efficient marathon shoe ever—the Nike Zoom Fly Men's Running Shoe is the perfect response to the demands of your toughest tempo runs, long runs and race days.",4.3,105
CK3312-001,Nike x Olivia Kim Air Mowabb,"USD 15,995.00","USD 11,197.00","USD 10,973.06",Nike,"Celebrate the '90s, the great outdoors and getting your feet in what you never thought you could. The Nike x Olivia Kim Air Mowabb comes from the desire of Olivia to celebrate the most iconic shoes and trends of the '90s while making them accessible to women. The legendary design epitomises the sneaker hero with its comfortable Air-Sole, perfect utilisation of Huarache technology and first-of-its-kind speckled midsole. Soft accents come in desert hues, reminding you to get out, breathe the fresh air and celebrate your journey.",0,0
CD0490-104,Nike Air Max 90,USD 0.00,"USD 9,995.00","USD 9,795.10",Nike,"Clean lines, versatile and timeless—the people's shoe returns with the Nike Air Max 90. Featuring the same iconic Waffle sole, stitched overlays and classic TPU accents you've come to love, it lets you walk among the pantheon of Air.",5,9
CD0490-101,Nike Air Max 90,USD 0.00,"USD 9,995.00","USD 9,995.00",Nike,"Clean lines, versatile and timeless—the people's shoe returns with the Nike Air Max 90. Featuring the same iconic Waffle sole, stitched overlays and classic TPU accents you've come to love, it lets you walk among the pantheon of Air.",5,9
CD0881-104,Nike Air Max 90,USD 0.00,"USD 9,995.00","USD 7,696.15",Nike,"Clean lines, versatile and timeless—the people's shoe returns with the Nike Air Max 90. Featuring the same iconic Waffle sole, stitched overlays and classic TPU accents you've come to love, it lets you walk among the pantheon of Air.",4.7,9
705265-006,Nike SB Check,USD 0.00,"USD 5,495.00","USD 5,275.20",Nike,"Crafted from soft suede, the Nike SB Check is reinforced in key areas for the durability you need to skate all day long.",5,1
CQ2503-900,Nike Air Max Dia NRG,"USD 10,995.00","USD 7,697.00","USD 7,697.00",Nike,"Crisp and clean with the perfect amount of lift, the Nike Air Max Dia is designed to elevate her every day. The minimal upper features no-sew skins and breathable mesh for an airiness that matches the swirled iridescent patterns. Boosting style and comfort, the Max Air unit underfoot joins with the super-soft foam midsole.",4.3,3
BV6348-300,Nike ACG Air Terra Antarktik,USD 0.00,"USD 15,995.00","USD 15,355.20",Nike,"Designed and tested in Oregon, the Nike ACG Antarktik is a ""jacket"" for your foot. Its tough ripstop upper combines with a GORE-TEX lining to help keep your foot dry. All-new lug details use hard rubber for traction in all conditions.",2.6,20
CD0479-200,Nike Air Max Dia SE,USD 0.00,"USD 9,995.00","USD 9,795.10",Nike,"Designed for a woman's foot, the Nike Air Max Dia delivers a lifted look and airy aesthetic in a sleek shape. The minimal upper modernises the look while the exaggerated midsole amplifies the Max Air unit surrounded by clear TPU for a boost of style.",0,0
CD5028-900,Kyrie 6 AS EP,USD 0.00,"USD 10,995.00","USD 10,995.00",Nike,"Designed for Kyrie Irving's unpredictable creativity on the court, the Kyrie 6 focuses on comfort, control and energy return to help him go fast and stay fresh. Bouncy cushioning is paired with soft yet supportive foam for responsiveness and a smooth heel-to-toe transition. The midfoot strap and plush, padded collar lock him in and help keep him a step ahead of the competition.",0,0
AQ7491-008,Nike Flex TR 9,USD 0.00,"USD 5,495.00","USD 5,385.10",Nike,"Designed for low-impact workouts and circuit training, the Nike Flex TR 9 pairs a breathable mesh and synthetic upper with a supportive platform designed for flexibility and traction.",2.9,8
AR6631-004,Nike Air VaporMax 2019,"USD 15,995.00","USD 12,797.00","USD 12,797.00",Nike,"Designed for running but adopted by the street, the Nike Air VaporMax 2019 features the lightest, most flexible Air Max cushioning to date. A stretch woven material wraps your foot for lightweight support and stability, while an external reinforcement in the heel secures the back of your foot.",3.8,24
AR6632-603,Nike Air VaporMax 2019,"USD 15,995.00","USD 9,597.00","USD 9,501.03",Nike,"Designed for running but adopted by the street, the Nike Air VaporMax 2019 features the lightest, most flexible Air Max cushioning to date. A stretch woven material wraps your foot for lightweight support and stability, while an external reinforcement in the heel secures the back of your foot.",3.5,11
AT5410-003,Nike Air Ghost Racer,"USD 9,995.00","USD 6,997.00","USD 6,927.03",Nike,"Designed for speed, stability and comfort, the Nike Air Ghost Racer was a hit 20 years ago—and now it's back in a stitch-for-stitch remake. And though it has all the same features as the original, it might be even better than you remember.",4.5,2
BV7754-001,Nike React City,"USD 13,995.00","USD 9,797.00","USD 9,503.09",Nike,"Designed for the fast pace of urban life, the Nike React City provides an all-day solution for runners who commute. A zipped upper with no laces gets you in quickly, while the translucent details fit in at work or social events.",0,0
CJ5472-900,Nike Air Max 720 BETRUE,USD 0.00,"USD 15,995.00","USD 15,675.10",Nike,"Designed in collaboration with Gilbert Baker, the Nike Air Max 720 BETRUE features a rainbow-coloured upper inspired by, and in celebration of, the LGBTQ community.",5,1
CJ5472-900,Nike Air Max 720 BETRUE,USD 0.00,"USD 15,995.00","USD 15,995.00",Nike,"Designed in collaboration with Gilbert Baker, the Nike Air Max 720 BETRUE features a rainbow-coloured upper inspired by, and in celebration of, the LGBTQ community.",5,1
CK5836-100,Kyrie 5 x Bandulu,"USD 10,995.00","USD 8,797.00","USD 8,533.09",Nike,"Designed in collaboration with Pat Peltier, the mind behind up-cycled vintage label Bandulu, the Kyrie 5 x Bandulu explores process, approach and technique. The brand's signature paint splatters give the shoe an expression that speaks to Kyrie's creativity and dedication to his craft—on and off the court.",5,1
CJ0636-100,Nike Air Max Dia,USD 0.00,"USD 8,995.00","USD 8,995.00",Nike,"Designed specifically for a woman's foot, the Nike Air Max Dia delivers a lifted look and airy aesthetic. The minimal upper modernises the silhouette, while the Max Air unit is amplified even further by an exaggerated midsole for a boost of style.",1,1
CI3898-200,Nike Air Max Dia,USD 0.00,"USD 8,995.00","USD 8,725.15",Nike,"Designed specifically for a woman's foot, the Nike Air Max Dia delivers a lifted look, an airy aesthetic and a sleek shape. The minimal upper modernises the look, while the Max Air unit, surrounded by clear TPU, is amplified even further by an exaggerated midsole for a boost of style.",5,3
CI1214-004,Nike Air Max Dia LX,"USD 9,995.00","USD 7,997.00","USD 7,837.06",Nike,"Designed specifically for a woman's foot, the Nike Air Max Dia LX delivers a lifted and airy aesthetic in a new, sleek shape. The minimal upper modernises your look, while the Max Air unit, surrounded by clear plastic, elevates your style.",1,1
BQ9665-301,Nike Air Max Dia Winter,USD 0.00,"USD 10,995.00","USD 8,466.15",Nike,"Designed specifically for a woman's foot, the Nike Air Max Dia Winter delivers a lifted and airy aesthetic in a sleek shape. The minimal upper modernises the look, while a Max Air unit is amplified even further by an exaggerated midsole for a boost of style.",4.4,5
BQ3202-011,Nike Zoom Gravity,USD 0.00,"USD 7,995.00","USD 7,835.10",Nike,"Designed to make fast go faster, the Nike Zoom Gravity is built to take you from quick tempo runs to winning races. Snappy forefoot propulsion and grippy, multi-surface traction combine to maximize your stride.",3.1,8
BQ3203-007,Nike Zoom Gravity,"USD 7,995.00","USD 6,397.00","USD 6,269.06",Nike,"Designed to make fast go faster, the Nike Zoom Gravity is built to take you from quick tempo runs to winning races. Snappy forefoot responsiveness and grippy, multi-surface traction combine to optimise your stride.",3.7,18
634835-108,Nike Air Huarache,USD 0.00,"USD 8,995.00","USD 6,116.60",Nike,"Designed to stretch with your foot, the Nike Air Huarache Women's Shoe has remained a sneaker staple since its 1991 debut, when it changed the face of running footwear forever.",4.5,63
BQ7978-001,Nike Metcon 4 XD Patch,USD 0.00,"USD 11,995.00","USD 11,755.10",Nike,"Designed to withstand the demands of cross-training, the Nike Metcon 4 XD Patch delivers abrasion resistance with a 3D-printed upper for long-lasting wear. It comes with a set of 6 patches so you can customise your look with what motivates you most.",0,0
BQ3212-600,Nike Revolution 5 FlyEase,USD 0.00,"USD 3,695.00","USD 2,512.60",Nike,"Designed with a zip closure secured by a midfoot strap, the Nike Revolution 5 FlyEase lets you suit up for your run quickly and easily. Soft foam cushions your stride, while a minimalist design fits in just about anywhere.",4.5,6
CI9842-500,Nike Air Max Verona,USD 0.00,"USD 9,995.00","USD 9,995.00",Nike,"Designed with every woman in mind, the mixed-material upper features a plush collar, flashy colours and unique stitching patterns. Nike Air cushioning combines with the lifted foam heel for a modern touch, adding comfort and style to your journey.",5,2
CK3321-100,Nike x Olivia Kim Air Footscape,"USD 12,995.00","USD 9,097.00","USD 6,185.96",Nike,"Designer Olivia Kim couldn't get a pair of Footscapes when they dropped in '96 because they didn't make her size. Now, she's curating her own line of Nikes—with sizes to match. Inspired by the '90s in NYC and the sneakers Olivia dreamt of owning, the Nike x Olivia Kim Air Footscape throws it back to her memories of the era's fashion and culture.",0,0
CK2531-001,Nike Air Max 720 (OBJ),"USD 16,995.00","USD 13,597.00","USD 10,469.69",Nike,"Disrupt the atmosphere and let your light shine in the Nike Air Max 720 (OBJ), featuring Nike's tallest Air unit yet. Its colours take inspiration from the natural world, a counterpoint to the shoe's futuristic look.",5,5
BV5841-800,Nike MX-720-818,USD 0.00,"USD 15,995.00","USD 15,675.10",Nike,"Disrupt the universe in your Nike MX-720-818. Featuring materials inspired by spacesuits and quilted stitching on the upper, it takes the largest Air unit to date and blends it with the futuristic look of the final frontier. Mesh on the upper keeps your feet cool while the clear sole features the black and grey reminiscent of deep space.",4,1
BQ5972-001,Nike MX-720-818,"USD 15,995.00","USD 11,197.00","USD 10,861.09",Nike,"Disrupt the universe in your Nike MX-720-818. Featuring materials inspired by spacesuits and quilted stitching on the upper, it takes the largest Air unit to date and blends it with the futuristic look of the final frontier. Mesh on the upper keeps your feet cool while the clear sole features the black and grey reminiscent of deep space.",0,0
